mnemonic	summary	kind	standard_status_hint	source_section
NOROUTINE	There has been an attempt to refer to a nonexistent routine. For further details, refer to $ZERROR .		ansi	site/RERR_system.html#NOROUTINE
NOSYS	There has been an attempt to make an extended or implicit reference to a remote system that is not reachable in the current network configuration. The remote system is not in the tables.		ansi	site/RERR_system.html#NOSYS
NOTOPEN	The device cannot be opened, or there has been an attempt to use an unopened device.		ansi	site/RERR_system.html#NOTOPEN
PARAMETER	The number of parameters passed to a labeled line by a user-written function reference or a Do command exceeded the number of formal parameters declared for the labeled line.		ansi	site/RERR_system.html#PARAMETER
PROTECT	There has been an attempt to do something with a global ( Read , Write , or Kill ) for which there was no authorization; or there has been an attempt to use a View command which modifies memory, $View , or modifying a SYS.Database Opens in a new tab property; or there has been an attempt to use a nonexistent directory, possibly with extended global syntax, or some other protection violation occurred. A common cause of this error is attempting to write to a database that has been dismounted or to which the user does not have permission to access. For further details, refer to $ZERROR .		ansi	site/RERR_system.html#PROTECT
RANGE	A bit or list position is out of allowable range.		ansi	site/RERR_system.html#RANGE
READ	The record cannot be read.		ansi	site/RERR_system.html#READ
RECOMPILE	A routine has been compiled under a different version of InterSystems IRIS or an InterSystems legacy product. It cannot be loaded onto this system with %RIMF , which transfers object code. Transfer it as source code (using %RO and %RI ) and then recompile it.		ansi	site/RERR_system.html#RECOMPILE
RESJOB	A process was intentionally terminated.		ansi	site/RERR_system.html#RESJOB
ROLLFAIL	InterSystems IRIS has encountered an error processing a call to TRollBack . This error means that InterSystems IRIS is not sure whether one or more remote machines actually processed the rollback.		ansi	site/RERR_system.html#ROLLFAIL
ROUTINELOAD	An error occurred in loading a routine. This can indicate that the routine’s OBJ code (object code) is corrupt, which can possibly lead to database degradation. Contact your system manager. This error can also indicate that no routine buffers are available (they are being held by other processes) and the timeout period (roughly 100 seconds) has expired.		ansi	site/RERR_system.html#ROUTINELOAD
SELECT	A $Select function contains no true condition.		ansi	site/RERR_system.html#SELECT
SLMSPAN	There has been an attempt to kill a global across a subscript level mapping boundary.		ansi	site/RERR_system.html#SLMSPAN
STACK	The argument stack is out of room or contains an incorrect type.		ansi	site/RERR_system.html#STACK
STORE	The process ran out of memory. If you expect the process to use a lot of memory, try doubling or quadrupling the available memory for the process . If the error goes away, then the process needed more memory. If the error persists, then you need to figure out why it is using so much memory. Refer to the $STORAGE special variable for further details.		ansi	site/RERR_system.html#STORE
STRINGSTACK	An expression is too long, there are too many expressions in an argument for a single command, or an expression contains many very long strings. Simplify the expression.		ansi	site/RERR_system.html#STRINGSTACK
STRMISMATCH	There has been an internal error handling big strings over the network.		ansi	site/RERR_system.html#STRMISMATCH
SUBSCRIPT	A subscript has an illegal value or a global reference is too long. For further details, refer to $ZERROR . For more information on maximum length of global references, see “ Determining the Maximum Length of a Subscript ”.		ansi	site/RERR_system.html#SUBSCRIPT
SYNTAX	There is a syntax error (an error in the formation of a language construct, such as a misspelled or missing keyword).		ansi	site/RERR_system.html#SYNTAX
SYSTEM	Either there has been an attempt to do something not allowed by the operating system, or there is an error condition in InterSystems IRIS, in which case you should notify your support center with as much information as possible.		ansi	site/RERR_system.html#SYSTEM
TCPWRITE	A timeout has occurred on a TCP write operation.		ansi	site/RERR_system.html#TCPWRITE
TERMINATOR	There has been an attempt to read on a terminal or device in image mode with no terminator and it was not a fixed-length read.		ansi	site/RERR_system.html#TERMINATOR
THROW	A THROW has been issued, but no CATCH expression has been found on the call stack. For further details, refer to $ZERROR .		ansi	site/RERR_system.html#THROW
TOOMANYFILES	InterSystems IRIS is unable to open a file because the underlying operating system has run out of file descriptors.		ansi	site/RERR_system.html#TOOMANYFILES
TRANSLATE	InterSystems IRIS has read an input value for which it has no translation value. It therefore carries out the Default Action defined on the Translation tab of the InterSystems IRIS NLS utility.		ansi	site/RERR_system.html#TRANSLATE
TRANSLOST	A distributed transaction initiated by this job has been asynchronously rolled back by the server.		ansi	site/RERR_system.html#TRANSLOST
UNDEFINED	There has been a reference to an undefined variable. For further details, refer to $ZERROR .		ansi	site/RERR_system.html#UNDEFINED
UNIMPLEMENTED	There has been an attempt to use either an unimplemented function or an unimplemented argument of a legitimate command or function.		ansi	site/RERR_system.html#UNIMPLEMENTED
UNLICENSED	The available license key does not permit the requested operation, for example, trying to create an encrypted database with an entry license.		ansi	site/RERR_system.html#UNLICENSED
WRITE	The record cannot be written.		ansi	site/RERR_system.html#WRITE
ZDDIF	A DATEDIFF operation was attempted with an invalid date.		iris-extension	site/RERR_system.html#ZDDIF
ZDPT2	A DATEPART operation was attempted with an invalid date.		iris-extension	site/RERR_system.html#ZDPT2
ZTRAP	There has been an attempt to issue a ZTrap command with no argument.		iris-extension	site/RERR_system.html#ZTRAP
