canonical_name	abbreviation	format	standard_status_hint	source_section	description
$PARAMETER		$PARAMETER( class , parameter )	ansi	site/RCOS_fparameter.html#RCOS_fparameter	$PARAMETER returns the value of a specified class parameter. $PARAMETER can look up this parameter in the current class context or in a specified class context. You can specify a class name as a quoted string, specify an OREF , or omit the class argument and take as default the current instance (see $THIS ). Specifying class is optional; specifying the comma separator is mandatory.
$PIECE		$PIECE( string , delimiter , from , to ) $P( string , delimiter , from , to ) SET $PIECE( string , delimiter , from , to )= value SET $P( string , delimiter , from , to )= value	ansi	site/RCOS_fpiece.html#RCOS_fpiece	$PIECE identifies substrings within string by the presence of a delimiter . If the delimiter does not occur in string , the entire string is treated as a single substring.
$PREFETCHOFF		$PREFETCHOFF( gref , gref2 )	ansi	site/RCOS_fprefetchoff.html#RCOS_fprefetchoff	$PREFETCHOFF turns off the pre-fetching of global nodes established by $PREFETCHON for the current process.
$PREFETCHON		$PREFETCHON( gref , gref2 )	ansi	site/RCOS_fprefetchon.html#RCOS_fprefetchon	$PREFETCHON improves performance by turning on pre-fetching for a global or a range of globals for the current process. $PREFETCHON returns 1 indicating successful completion (pre-fetching is enabled). $PREFETCHON returns 0 indicating the desired pre-fetch could not be established. A 0 might be returned if the specified range includes two different global names, or if there is some other problem that prevents pre-fetching. A returned 0 is not an error; it does not interrupt program execution, and processing of global references in the specified range is not impaired. It simply means that these global operations do not have the performance boost of pre-fetching.
$PROPERTY		$PROPERTY( instance , propertyname , index1 , index2 , index3 ... )	ansi	site/RCOS_fproperty.html#RCOS_fproperty	$PROPERTY gets or sets the value of a property in an instance of the designated class. This function permits an ObjectScript program to select the value of an arbitrary property in an existing instance of some class. Since the first argument must be an instance of a class, it is computed at execution time. The property name may be computed at runtime or supplied as a string literal. The contents of the string must match exactly the name of a property declared in the class. Property names are case-sensitive.
$QLENGTH		$QLENGTH( varname ) $QL( varname )	ansi	site/RCOS_fqlength.html#RCOS_fqlength	$QLENGTH returns the number of subscript levels in varname . $QLENGTH simply counts the number of subscript levels specified in varname . The top-level varname variable does not have to be defined for $QLENGTH to return the number of subscript levels.
$QSUBSCRIPT		$QSUBSCRIPT( varname , intexpr ) $QS( varname , intexpr )	ansi	site/RCOS_fqsubscript.html#RCOS_fqsubscript	$QSUBSCRIPT returns the variable name, or the value of a specified subscript of varname , depending on the value of intexpr . If varname is a global variable, you can also return the namespace name, if it was explicitly specified. $QSUBSCRIPT does not return a default namespace name.
$QUERY		$QUERY( reference , direction , target ) $Q( reference , direction , target )	ansi	site/RCOS_fquery.html#RCOS_fquery	$QUERY performs a physical scan of a public local or global array; it returns the full reference, name and subscripts, of the defined node next in sequence to the specified array node. If no such node exists, $QUERY returns the null string.
$RANDOM		$RANDOM( range ) $R( range )	ansi	site/RCOS_frandom.html#RCOS_frandom	$RANDOM returns a pseudo-random integer value between 0 and range -1 (inclusive). Thus $RANDOM(3) returns 0, 1, 2, but not 3. Returned numbers are uniformly distributed across the specified range.
$REPLACE		$REPLACE( string , searchstr , replacestr , start , count , case )	ansi	site/RCOS_freplace.html#RCOS_freplace	"The $REPLACE function returns a new string that consists of a string-for-string replacement of the input string. It searches string for the searchstr substring. If $REPLACE finds one or more matches, it replaces the searchstr substring with replacestr and returns the resulting string. The replacestr argument value may be long or shorter than searchstr . To remove searchstr substrings, specify the empty string ("""") for replacestr ."
$REVERSE		$REVERSE( string ) $RE( string )	ansi	site/RCOS_freverse.html#RCOS_freverse	$REVERSE returns the characters in string in reverse order. The string can contain 8-bit characters or 16-bit Unicode characters. For further details on InterSystems IRIS Unicode support, refer to Unicode .
$SCONVERT		$SCONVERT( s , format , endian , position ) $SC( s , format , endian , position )	ansi	site/RCOS_fsconvert.html#RCOS_fsconvert	$SCONVERT converts s from an encoded string of 8-bit bytes to a numeric value, using the specified format .
$SELECT		$SELECT( expression : value ,...) $S( expression : value ,...)	ansi	site/RCOS_fselect.html#RCOS_fselect	The $SELECT function returns the value associated with the first expression that evaluates to true (1). Each $SELECT argument is a pair of expressions separated by a colon. The left half is a boolean expression that evaluates to 1 (true) or 0 (false). The right half is a value to be returned; value can be any expression. Any number of comma-separated expression : value pairs can be specified.
$SEQUENCE		$SEQUENCE( gvar ) $SEQ( gvar ) SET $SEQUENCE( gvar )= value SET $SEQ( gvar )= value	ansi	site/RCOS_fsequence.html#RCOS_fsequence	$SEQUENCE and $INCREMENT can both increment local variables, global variables, or process-private globals. $SEQUENCE is typically used on globals.
$SORTBEGIN		$SORTBEGIN( set_global )	ansi	site/RCOS_fsortbegin.html#RCOS_fsortbegin	$SORTBEGIN initiates a special sorting mode during which SET operations to the specified target global are redirected to a process-private temporary area and sorted into subsets. This mode is ended with a call to $SORTEND which copies the data into the target global reference. When the special sorting mode is in effect, all sets to the target global reference and any of its descendants are affected.
$SORTEND		$SORTEND( set_global , dosort )	ansi	site/RCOS_fsortend.html#RCOS_fsortend	$SORTEND specifies the end of a special sorting mode initiated by $SORTBEGIN on a specific target global. The value of the $SORTEND set_global must match the corresponding $SORTBEGIN set_global .
$TEXT		$TEXT( label + offset ^ routine ) $T( label + offset ^ routine ) $TEXT(@ expr_atom ) $T(@ expr_atom )	ansi	site/RCOS_ftext.html#RCOS_ftext	$TEXT returns a line of code found at the specified location. If $TEXT does not find source code at the specified location, it returns the null string.
$TRANSLATE		$TRANSLATE( string , identifier , associator ) $TR( string , identifier , associator )	ansi	site/RCOS_ftranslate.html#RCOS_ftranslate	The $TRANSLATE function returns a new string that consists of a one or more character-for-character replacements of the source string. A $TRANSLATE operation can replace multiple different characters, but it can only replace a single character with (at most) a single character. It processes the string argument one character at a time. It compares each character in the input string with each character in the identifier argument. If $TRANSLATE finds a match, it performs one of the following actions on that character:
$VECTOR		set $VECTOR( vector , position , type ) = value	ansi	site/RCOS_fvector.html#RCOS_fvector	The $VECTOR function assigns values to elements in a vector and can delete elements as well. It can also return the values at a specified vector element position or a vector slice from a subset of element positions. To perform operations on a vector, use the $VECTOROP function.
$VECTORDEFINED		$VECTORDEFINED( vector , position ) $VECTORDEFINED( vector , position , value )	ansi	site/RCOS_fvectordefined.html#RCOS_fvectordefined	$VECTORDEFINED( vector , position ) returns 1 (true) if the vector element at the specified index position is defined. If the element is undefined, the function returns 0 (false).
$VECTOROP		"$VECTOROP(""count"", vexpr [ , bitexpr ] ) $VECTOROP(""max"", vexpr [ , bitexpr ] ) $VECTOROP(""min"", vexpr [ , bitexpr ] ) $VECTOROP(""sum"", vexpr [ , bitexpr ] )"	ansi	site/RCOS_fvectorop.html#RCOS_fvectorop	
$VIEW		$VIEW( offset , mode , length ) $V( offset , mode , length )	ansi	site/RCOS_fview.html#RCOS_fview	$VIEW returns the contents of memory locations.
$WASCII		$WASCII( expression , position ) $WA( expression , position )	ansi	site/RCOS_fwascii.html#RCOS_fwascii	$WASCII returns the character code value for a single character specified in expression . $WASCII recognizes a surrogate pair as a single character. The returned value is a positive integer.
