canonical_name	abbreviation	format	standard_status_hint	source_section	description
$ZDATETIMEH		$ZDATETIMEH( datetime , dformat , tformat , monthlist , yearopt , startwin , endwin , mindate , maxdate , erropt , localeopt ) $ZDTH( datetime , dformat , tformat , monthlist , yearopt , startwin , endwin , mindate , maxdate , erropt , localeopt )	iris-extension	site/RCOS_fzdatetimeh.html#RCOS_fzdatetimeh	$ZDATETIMEH validates a specified date and time value and converts it from display format to internal format. The corresponding $ZDATETIME function converts a date and time from internal format to display format. Internal format is the format used by the $HOROLOG or $ZTIMESTAMP . It represents a date and time value as a string of two numeric values separated by a comma.
$ZDCHAR		$ZDCHAR( n ) $ZDC( n )	iris-extension	site/RCOS_fzdchar.html#RCOS_fzdchar	$ZDCHAR returns an eight-byte (quad) character string corresponding to n . The bytes of the character string are presented in little-endian byte order, with the least significant byte first.
$ZEXP		$ZEXP( n )	iris-extension	site/RCOS_fzexp.html#RCOS_fzexp	$ZEXP is the exponential function e n , where e is the constant 2.718281828. Therefore, to return the value of e , you can specify $ZEXP(1) . $ZEXP is the inverse of the natural logarithm function $ZLN .
$ZF		"$ZF("" function_name "", args )"	iris-extension	site/RCOS_fzf.html#RCOS_fzf	The various forms of the $ZF function allow you to invoke non-ObjectScript programs (such as shell or operating system commands) or functions from ObjectScript code. You can define interfaces or links to functions written in other languages into InterSystems IRIS and call them from ObjectScript code using $ZF .
$ZHEX		$ZHEX( num ) $ZH( num )	iris-extension	site/RCOS_fzhex.html#RCOS_fzhex	$ZHEX converts a hexadecimal string to a decimal integer, or a decimal integer to a hexadecimal string.
$ZISWIDE		$ZISWIDE( string )	iris-extension	site/RCOS_fziswide.html#RCOS_fziswide	$ZISWIDE is a boolean function used to check whether a string contains any 16-bit wide character values. It returns one of the following values:
$ZLASCII		$ZLASCII( string , position ) $ZLA( string , position )	iris-extension	site/RCOS_fzlascii.html#RCOS_fzlascii	The value $ZLASCII returns depends on the arguments you use.
$ZLCHAR		$ZLCHAR( n ) $ZLC( n )	iris-extension	site/RCOS_fzlchar.html#RCOS_fzlchar	$ZLCHAR returns a four-byte (long) character string for n . The bytes of the character string are presented in little-endian byte order, with the least significant byte first.
$ZLN		$ZLN( n )	iris-extension	site/RCOS_fzln.html#RCOS_fzln	$ZLN returns the natural logarithm (base e) value of n .
$ZLOG		$ZLOG( n )	iris-extension	site/RCOS_fzlog.html#RCOS_fzlog	$ZLOG returns the base–10 logarithm value of n .
$ZPOWER		$ZPOWER( num , exponent )	iris-extension	site/RCOS_fzpower.html#RCOS_fzpower	$ZPOWER returns the value of the num argument raised to the n th power.
$ZQASCII		$ZQASCII( string , position ) $ZQA( string , position )	iris-extension	site/RCOS_fzqascii.html#RCOS_fzqascii	The value that $ZQASCII returns depends on the arguments you use.
$ZQCHAR		$ZQCHAR( n ) $ZQC( n )	iris-extension	site/RCOS_fzqchar.html#RCOS_fzqchar	$ZQCHAR returns an eight-byte (quad) character string corresponding to the binary representation of n . The bytes of the character string are presented in little-endian byte order, with the least significant byte first.
$ZSEARCH		$ZSEARCH( target ) $ZSE( target )	iris-extension	site/RCOS_fzsearch.html#RCOS_fzsearch	$ZSEARCH returns the full file specification (pathname and filename) of a specified target file or directory. The filename may contain wild cards so that $ZSEARCH can return a series of fully qualified pathnames that satisfy the wild carding.
$ZSEC		$ZSEC( n )	iris-extension	site/RCOS_fzsec.html#RCOS_fzsec	$ZSEC returns the trigonometric secant of n . The result is a signed decimal number. The secant of 0 is 1. The secant of pi is -1.
$ZSEEK		$ZSEEK( offset , mode )	iris-extension	site/RCOS_fzseek.html#RCOS_fzseek	$ZSEEK establishes a new offset into the current device. The current device must be a sequential file. If the current device is not a sequential file, $ZSEEK issues a <FUNCTION> error.
$ZSIN		$ZSIN( n )	iris-extension	site/RCOS_fzsin.html#RCOS_fzsin	$ZSIN returns the trigonometric sine of n . The result is a signed decimal number ranging from 1 to -1 (see note). $ZSIN(0) returns 0. $ZSIN($ZPI/2) returns 1.
$ZSQR		$ZSQR( n )	iris-extension	site/RCOS_fzsqr.html#RCOS_fzsqr	"$ZSQR returns the square root of n . It returns the square root of 1 as 1. It returns the square root of 0 and the square root of a null string ("""") as 0. Specifying a negative number invokes an <ILLEGAL VALUE> error. You can use the absolute value function $ZABS to convert negative numbers to positive numbers."
$ZSTRIP		$ZSTRIP( string , action , remchar , keepchar )	iris-extension	site/RCOS_fzstrip.html#RCOS_fzstrip	The $ZSTRIP function removes types of characters and/or individual character values from the specified string . In the action argument you specify an action code indicating the kind of remove operation to perform, and (optionally) a mask code specifying the types of characters to remove. You can specify individual character values to remove using the remchar argument. $ZSTRIP can remove both types of characters (such as all lowercase letters) and listed character values (such as the letters “AEIOU”) in the same operation. You can use the optional remchar and keepchar arguments to modify the effects of the action argument’s mask code by specifying individual character values to remove or to keep.
$ZTAN		$ZTAN( n )	iris-extension	site/RCOS_fztan.html#RCOS_fztan	$ZTAN returns the trigonometric tangent of n . The result is a signed decimal number.
$ZTIME		$ZTIME( htime , tformat , precision , erropt , localeopt ) $ZT( htime , tformat , precision , erropt , localeopt )	iris-extension	site/RCOS_fztime.html#RCOS_fztime	The $ZTIME function converts an internal system time, htime , specified in the time format from the special variable $HOROLOG or $ZTIMESTAMP , to a printable format. If no optional arguments are used, the time will be returned in the format: “hh:mm:ss”; where “hh” is hours in a 24–hour clock, “mm” is minutes, and “ss” is seconds. Otherwise, the time will be returned in the format specified by the value of the tformat and precision arguments.
$ZTIMEH		$ZTIMEH( time , tformat , erropt , localeopt ) $ZTH( time , tformat , erropt , localeopt )	iris-extension	site/RCOS_fztimeh.html#RCOS_fztimeh	The $ZTIMEH function converts a time value from a format produced by the $ZTIME function to the format of the special variables $HOROLOG and $ZTIMESTAMP . If the optional argument tformat is not specified, the input time must be in the format “hh:mm:ss.fff...”. Otherwise, the same integer format code used to produce the printable time from the $ZTIME function must be used for the time to be converted properly.
$ZWASCII		$ZWASCII( string , position ) $ZWA( string , position )	iris-extension	site/RCOS_fzwascii.html#RCOS_fzwascii	The value that $ZWASCII returns depends on the arguments you use.
$ZWCHAR		$ZWCHAR( n ) $ZWC( n )	iris-extension	site/RCOS_fzwchar.html#RCOS_fzwchar	$ZWCHAR returns a two-byte (wide) character string corresponding to the binary representation of n . The bytes of the character string are presented in little-endian byte order, with the least significant byte first. It is the functional equivalent of:
$ZWIDTH		$ZWIDTH( expression , pitch )	iris-extension	site/RCOS_fzwidth.html#RCOS_fzwidth	$ZWIDTH returns the total width of the characters in expression . The pitch value determines the width to use for full-width characters. All other characters are assigned a width of 1 and are considered to be half-width.
$ZZENKAKU		$ZZENKAKU( expression , flag1 , flag2 )	iris-extension	site/RCOS_fzzenkaku.html#RCOS_fzzenkaku	"$ZZENKAKU converts Japanese katakana characters from half-width (hankaku) to full-width (zenkaku) characters. It also converts strings of Roman alphabet letters (""ABC"") and Arabic numbers (123) from half-width to full-width."
