canonical_name	abbreviation	format	standard_status_hint	source_section	description
$ZHOROLOG		$ZHOROLOG $ZH	iris-extension	site/RCOS_vzhorolog.html#RCOS_vzhorolog	$ZHOROLOG contains the number of seconds that have elapsed since the most recent InterSystems IRIS startup. This is a count, which is independent of clock changes and day boundaries. The value is expressed as a floating point number, indicating seconds and fractions of a second. The number of decimal digits is platform-dependent. $ZHOROLOG truncates trailing zeros in this fractional portion.
$ZIO		$ZIO $ZI	iris-extension	site/RCOS_vzio.html#RCOS_vzio	$ZIO contains information about the current I/O device.
$ZJOB		$ZJOB $ZJ	iris-extension	site/RCOS_vzjob.html#RCOS_vzjob	$ZJOB contains a number in which each bit represents one particular aspect of the job’s status. $ZJOB returns an integer that consists of the total of the set status bits. For example, if $ZJOB = 5, this means that the 1 bit and the 4 bit are set.
$ZMODE		$ZMODE $ZM	iris-extension	site/RCOS_vzmode.html#RCOS_vzmode	"$ZMODE contains the parameters specified with the OPEN or USE command for the current device. The string returned contains the parameters used to open the current I/O device in canonical form. These parameter values are separated by backslash delimiters. Open parameters like ""M"" on TCP/IP IO are canonicalized to ""PSTE"". The ""Y"" and ""K"" parameter values are always placed last."
$ZNSPACE		$ZNSPACE	iris-extension	site/RCOS_vznspace.html#RCOS_vznspace	$ZNSPACE contains the name of the current namespace. By setting $ZNSPACE , you can change the current namespace.
$ZORDER		$ZORDER $ZO	iris-extension	site/RCOS_vzorder.html#RCOS_vzorder	$ZORDER contains the value of the next global node (in $QUERY sequence, not $ORDER sequence), after the current global reference. If there is no next global node, accessing $ZORDER results in an <UNDEFINED> error, indicating the last global successfully accessed by $ZORDER . For further details on <UNDEFINED> errors, refer to $ZERROR .
$ZPARENT		$ZPARENT $ZP	iris-extension	site/RCOS_vzparent.html#RCOS_vzparent	$ZPARENT contains the ID of the parent process that created the current process with the JOB command. If the current process was not created with the JOB command, $ZPARENT contains 0 (zero).
$ZPI		$ZPI	iris-extension	site/RCOS_vzpi.html#RCOS_vzpi	$ZPI contains the value of the numeric constant Pi to eighteen decimal places (3.141592653589793238).
$ZREFERENCE		$ZREFERENCE $ZR	iris-extension	site/RCOS_vzreference.html#RCOS_vzreference	$ZREFERENCE contains the name and subscript(s) of the last global reference. This is known as the naked indicator.
$ZSTORAGE		$ZSTORAGE $ZS	iris-extension	site/RCOS_vzstorage.html#RCOS_vzstorage	$ZSTORAGE contains the maximum amount of memory, in Kbytes, for a job’s process-private memory. This memory is available for local variables, stacks, and other tables. This memory limit does not include space for the routine object code. This memory is allocated to the process as needed, for example when allocating an array.
$ZTIMESTAMP		$ZTIMESTAMP $ZTS	iris-extension	site/RCOS_vztimestamp.html#RCOS_vztimestamp	$ZTIMESTAMP contains the current date and time as a Coordinated Universal Time value. This is a worldwide time and date standard; this value is very likely to differ from your local time (and date) value.
$ZTIMEZONE		$ZTIMEZONE $ZTZ	iris-extension	site/RCOS_vztimezone.html#RCOS_vztimezone	$ZTIMEZONE can be used in two ways:
$ZTRAP		$ZTRAP $ZT	iris-extension	site/RCOS_vztrap.html#RCOS_vztrap	$ZTRAP contains the location of the current error trap handler; see Handling Errors with $ZTRAP .
$ZVERSION		$ZVERSION $ZV	iris-extension	site/RCOS_vzversion.html#RCOS_vzversion	$ZVERSION contains a string showing the version of the currently running instance of InterSystems IRIS® data platform.
