mnemonic	summary	kind	standard_status_hint	source_section
M97	Routine for user-defined ssvn not found		ansi	pages/ab00097.html#M97
M98	Resource unavailable		ansi	pages/ab00098.html#M98
M99	Invalid operation for socket context		ansi	pages/ab00099.html#M99
M100	Output timeout expired		ansi	pages/ab00100.html#M100
M101	Attempt to assign incorrect value to $ECode		ansi	pages/ab00101.html#M101
M102	Events cannot be both synchronous and asynchronous		ansi	pages/ab00102.html#M102
M103	Invalid event identifier		ansi	pages/ab00103.html#M103
M104	IPC event identifier is not a valid job-number		ansi	pages/ab00104.html#M104
M105	Object not currently accessible		ansi	pages/ab00105.html#M105
M106	Object does not support requested method or property		ansi	pages/ab00106.html#M106
M107	Object has no default value		ansi	pages/ab00107.html#M107
M108	Value is not of data type OREF		ansi	pages/ab00108.html#M108
M109	Undefined devicekeyword		ansi	pages/ab00109.html#M109
M110	Event identifier not available		ansi	pages/ab00110.html#M110
M111	Invalid number of days for date		ansi	pages/ab00111.html#M111
M112	Invalid number of seconds for time		ansi	pages/ab00112.html#M112
