canonical_name	abbreviation	format	standard_status_hint	source_section	description
$ZCHAR	$ZCH	$ZCH[AR](intexpr[,...])	ydb-extension	ProgrammersGuide/functions.rst#$ZCHAR()	Returns a string composed of bytes represented by the integer octet values specified in its argument(s).
$ZCOLLATE	$ZCO	$ZCO[LLATE](glvn,intexpr[,{0|1}])	ydb-extension	ProgrammersGuide/functions.rst#$ZCOLLATE()	Returns the transformed representation of the first argument glvn in a normalized form using the alternative transform specified by the second argument intexpr; the return can be used as an operand to the follows (]) or sorts-after (]]) operator such that, if both operands are in the normalized form, the result is independent of alternative collation.
$ZCONVERT	$ZCO	$ZCO[NVERT](expr1, expr2,[expr3])	ydb-extension	ProgrammersGuide/functions.rst#$ZCONVERT()	"Returns its first argument as a string or value converted to a different encoding or numeric base. The two argument form changes the encoding for case within the ASCII character set. The three argument form changes the encoding scheme or base. Supported bases are decimal (:code:`""DEC""` and :code:`""HEX""`, case insensitive)."
$ZDATA	$ZDAT	$ZDAT[A](glvn)	ydb-extension	ProgrammersGuide/functions.rst#$ZDATA()	Extends $DATA() to reflect the current alias state of the lvn or name argument to identify alias and alias container variables. It treats variables joined through pass-by-reference as well as TP RESTART variables within a transaction as alias variables. However, it does not distinguish nodes having alias containers among their descendants.
$ZDATE	$ZD	$ZD[ATE](expr1[,expr2[,expr3[,expr4]]]])	ydb-extension	ProgrammersGuide/functions.rst#$ZDATE()	"Returns a date and/or time formatted as text based on an argument formatted in the manner of $HOROLOG. For information on the format of $HOROLOG, refer to `Chapter 8: ""Intrinsic Special Variables"" <./isv.html>`_."
$ZEXTRACT	$ZE	$ZE[XTRACT](expr[,intexpr1[,intexpr2]])	ydb-extension	ProgrammersGuide/functions.rst#$ZEXTRACT()	Returns a byte sequence from a given sequence of octets (8-bit bytes).
$ZFIND	$ZF	$ZF[IND](expr1,expr2[,intexpr])	ydb-extension	ProgrammersGuide/functions.rst#$ZFIND()	Returns an integer byte position that locates the occurrence of a byte sequence within a sequence of octets(8-bit bytes).
$ZGETJPI		$ZGETJPI(expr1,expr2)	ydb-extension	ProgrammersGuide/functions.rst#$ZGETJPI()	Returns job or process information of the specified process. The format for the $ZGETJPI()) function is:
$ZJOBEXAM		$ZJOBEXAM([expr1[,expr2]])	ydb-extension	ProgrammersGuide/functions.rst#$ZJOBEXAM()	$ZJOBEXAM([expr1[,expr2]])
$ZJUSTIFY	$ZJ	$ZJ[USTIFY](expr,intexpr1[,intexpr2])	ydb-extension	ProgrammersGuide/functions.rst#$ZJUSTIFY()	Returns a formatted and fixed length byte sequence.
$ZLENGTH	$ZL	$ZL[ENGTH](expr1[,expr2])	ydb-extension	ProgrammersGuide/functions.rst#$ZLENGTH()	"Returns the length of a sequence of octets measured in bytes, or in ""pieces"" separated by a delimiter specified by one of its arguments."
$ZMESSAGE	$ZM	$ZM[ESSAGE](intexpr)	ydb-extension	ProgrammersGuide/functions.rst#$ZMESSAGE()	Returns a message string associated with a specified status code .
$ZPARSE		$ZPARSE(expr1[,expr2[,expr3[,expr4[,expr5]]]])	ydb-extension	ProgrammersGuide/functions.rst#$ZPARSE()	Expands a file name to a full pathname and then returns the full pathname or one of its fields (directory, name, or extension).
$ZPEEK		"$ZPEEK(""mnemonic[:argument]"",offset,length[,format])"	ydb-extension	ProgrammersGuide/functions.rst#$ZPEEK()	Provides a way to examine memory in the current process address space. Use of this function requires information about YottaDB internals, which may change from release to release. Contact YottaDB support for information on techniques for using $ZPEEK() in largely release independent ways.
$ZPIECE	$ZPI	$ZPI[ECE](expr1,expr2[,intexpr1[,intexpr2]])	ydb-extension	ProgrammersGuide/functions.rst#$ZPIECE()	Return a sequence of bytes delimited by a specified byte sequence made up of one or more bytes.
$ZPREVIOUS	$ZP	$ZP[REVIOUS](glvn)	ydb-extension	ProgrammersGuide/functions.rst#$ZPREVIOUS()	The $ZPREVIOUS function returns the subscript of the previous local or global variable name in collation sequence within the array level specified by its argument. When $ZPREVIOUS() has an unsubscripted argument, it returns the previous unsubscripted local or global variable name in collating sequence.
$ZQGBLMOD		$ZQGBLMOD(gvn)	ydb-extension	ProgrammersGuide/functions.rst#$ZQGBLMOD()	The $ZQGBLMOD function enables an application to determine whether it can safely apply a lost transaction to the database. A lost transaction is a transaction that must be rolled off a database to maintain logical multisite consistency. $ZQGBLMOD() always applies to data-level (level-0) nodes.
$ZSEARCH		$ZSEARCH(expr[,intexpr])	ydb-extension	ProgrammersGuide/functions.rst#$ZSEARCH()	The $ZSEARCH function attempts to locate a file matching the specified file name. If the file exists, it returns the file name; if the file does not exist, it returns the null string.
$ZSIGPROC		$ZSIGPROC(expr1,expr2)	ydb-extension	ProgrammersGuide/functions.rst#$ZSIGPROC()	Sends a signal to a process. The format for the $ZSIGPROC function is:
$ZSOCKET		$ZSOCKET(expr1,expr2[,[expr3][,expr4]])	ydb-extension	ProgrammersGuide/functions.rst#$ZSOCKET()	Returns information about a SOCKET device and its attached sockets. The format of the $ZSOCKET() function is:
$ZSUBSTR	$ZSUB	$ZSUB[STR] (expr ,intexpr1 [,intexpr2])	ydb-extension	ProgrammersGuide/functions.rst#$ZSUBSTR()	Returns a properly encoded string from a sequence of bytes.
$ZSYSLOG		$ZSYSLOG(expr)	ydb-extension	ProgrammersGuide/functions.rst#$ZSYSLOG()	"Sends its string parameter to the system log and always returns TRUE (1). Syslog entries logged by $ZSYSLOG() show :code:`""YDB-""` followed by the process executable :code:`proc/<pid>/comm` converted to upper case as the SYSLOG_IDENTIFIER field (along with instance information where appropriate). The $ZSYSLOG() function sends the argument to syslog facility. The format of the $ZSYSLOG() function is:"
$ZTRANSLATE	$ZTR	$ZTR[ANSLATE](expr1[,expr2[,expr3]])	ydb-extension	ProgrammersGuide/functions.rst#$ZTRANSLATE()	Returns a byte sequence that results from replacing or dropping bytes in the first of its arguments as specified by the patterns of its other arguments.
$ZTRIGGER		$ZTRIgger(expr1[,expr2])	ydb-extension	ProgrammersGuide/functions.rst#$ZTRIGGER()	Examine or load trigger definition. The format of the $ZTRIGGER() function is:
$ZTRNLNM		$ZTRNLNM(expr1[,expr2[,expr3[,expr4[,expr5[,expr6]]]]])	ydb-extension	ProgrammersGuide/functions.rst#$ZTRNLNM()	The $ZTRNLNM function returns the value of an environment variable.
$ZUADITLOG		$ZUADITLOG(expr)	ydb-extension	ProgrammersGuide/functions.rst#$ZAUditlog()	Sends its argument to an audit/logger listener process. This function requires setting the AZA_ENABLE audit logging facility in the ``$ydb_dist/restrict.txt`` file. For information on setting up the AZA_ENABLE audit logging facility, refer to `Configuring the Restriction Facility <../AdminOpsGuide/basicops.html#configuring-restriction-facility>`_ in the Administration and Operations Guide. The format for the $ZAUDITLOG() function is:
$ZWIDTH	$ZW	$ZW[IDTH] (expr)	ydb-extension	ProgrammersGuide/functions.rst#$ZWIDTH()	Returns the numbers of columns required to display a given string on the screen or printer. The format of the $ZWIDTH() function is:
$ZWRITE		$ZWRITE(expr[,intexpr])	ydb-extension	ProgrammersGuide/functions.rst#$ZWRITE()	Converts its first string argument to or from ZWRITE format (quoted graphics characters concatenated with $CHAR() representations of any non-graphic characters). The second integer expression controls the direction of conversion. The format of the $ZWRITE() function is:
$ZYCOMPILE		$ZYCOMPILE(string)	ydb-extension	ProgrammersGuide/functions.rst#$ZYCOmpile()	Verifies whether or not a string is syntactically correct M code.
$ZYHASH		$ZYHASH(string[,salt])	ydb-extension	ProgrammersGuide/functions.rst#$ZYHASH()	"Returns the 128-bit `MurmurHash3 <https://en.wikipedia.org/wiki/MurmurHash#MurmurHash3>`_ of a string as a hexadecimal string prefixed with :code:`""0x""`. This is equivalent to calling the C API function `ydb_mmrhash_128() <../MultiLangProgGuide/cprogram.html#ydb-mmrhash-128-fn>`_ and passing its return value to `ydb_mmrhash_128_hex() <../MultiLangProgGuide/cprogram.html#ydb-mmrhash-128-hex-fn>`_"
$ZYISSQLNULL		$ZYISSQLNULL(expr)	ydb-extension	ProgrammersGuide/functions.rst#$ZYISSQLNULL()	Returns 1 if its sole argument has a value :ref:`zysqlnull-isv`, and 0 otherwise.
$ZYSUFFIX	$ZYSU	$ZYSU[FFIX](string)	ydb-extension	ProgrammersGuide/functions.rst#$ZYSUFFIX()	"Returns a 128-bit `MurmurHash3 <https://en.wikipedia.org/wiki/MurmurHash#MurmurHash3>`_ of its string argument rendered as a 22 character alphanumeric (i.e., 0-9, a-z, A-Z) sequence suitable for concatenation to an application identifier (e.g., :code:`""^%MyApp""`) to generate names for global variables, local variables, and routines that are unique for all practical purposes."
