canonical_name	abbreviation	format	standard_status_hint	source_section	description
$ZCHSET	$ZCHSET	$ZCHSET	ydb-extension	ProgrammersGuide/isv.rst#$ZCHSET	"$ZCHSET is a read-only intrinsic special variable that takes its value from the environment variable ydb_chset. An application can obtain the character set used by a YottaDB process by the value of $ZCHSET. $ZCHSET can have only two values --""M"", or ""UTF-8""."
$ZCMDLINE	$ZCM	$ZCM[DLINE]	ydb-extension	ProgrammersGuide/isv.rst#$ZCMDLINE	"$ZCM[DLINE] is a read-write ISV that initially contains a string value specifying the ""excess"" portion of the command line that invoked the YottaDB process. By ""excess"" is meant the portion of the command line that is left after YottaDB has done all of its command line processing. For example, a command line yottadb -direct extra1 extra2 causes YottaDB to process the command line upto yottadb -direct and place the ""excess"" of the command line, that is ""extra1 extra2"" in $ZCMDLINE. $ZCMDLINE gives the M routine access to the shell command line input."
$ZCOMPILE	$ZCO	$ZCO[MPILE]	ydb-extension	ProgrammersGuide/isv.rst#$ZCOMPILE	$ZCO[MPILE] contains a string value composed of one or more qualifiers that control the YottaDB run-time compiler. :ref:`zcompile-command`, explicit :ref:`zlink` commands, and :ref:`auto-zlink` use these qualifiers as defaults for any compilations that they perform.
$ZCSTATUS	$ZC	$ZC[STATUS]	ydb-extension	ProgrammersGuide/isv.rst#$ZCSTATUS	$ZC[STATUS] holds the value of the status code for the last compilation performed by a :ref:`zcompile-command`, :ref:`zlink` or :ref:`auto-zlink`. One (1) indicates a clean compilation, a positive number greater than one is an error code whose text you can ascertain using :ref:`zmessage-function`, and a negative number is a negated error code that indicates YottaDB was not able to produce an object file. The error details appear in the compilation output, so $ZCSTATUS typically contains the code for `ERRORSUMMARY <../MessageRecovery/errors.html#errorsummary>`_.
$ZDATEFORM	$ZDA	$ZDA[TEFORM]	ydb-extension	ProgrammersGuide/isv.rst#$ZDATEFORM	$ZDA[TEFORM] contains an integer value, specifying the output year format of $ZDATE(). $ZDATEFORM can be modified using the SET command. YottaDB initializes $ZDATEFORM to the translation of the environment variable ydb_zdate_form. If ydb_zdate_form is not defined, YottaDB initializes $ZDATEFORM to zero (0).
$ZDIRECTORY	$ZD	$ZD[IRECTORY]	ydb-extension	ProgrammersGuide/isv.rst#$ZDIRECTORY	$ZD[IRECTORY] contains the string value of the full path of the current directory. Initially $ZDIRECTORY contains the default/current directory from which the YottaDB image/process was activated.
$ZEOF	$ZEO	$ZEO[F]	ydb-extension	ProgrammersGuide/isv.rst#$ZEOF	$ZEO[F] contains a truth-valued expression indicating whether the last READ operation reached the end-of-file. $ZEOF equals TRUE (1) at EOF and FALSE (0) at other positions.
$ZERROR	$ZE	$ZE[RROR]	ydb-extension	ProgrammersGuide/isv.rst#$ZERROR	$ZE[RROR] is supposed to hold the application-specific error-code corresponding to the YottaDB error-code stored in $ECODE/$ZSTATUS (see :ref:`ecode-isv` and :ref:`zstatus-isv`).
$ZGBLDIR	$ZG	$ZG[BLDIR]	ydb-extension	ProgrammersGuide/isv.rst#$ZGBLDIR	$ZG[BLDIR] contains the value of the current Global Directory filename. When $ZGBLDIR specifies an invalid or inaccessible file, YottaDB cannot successfully perform database operations.
$ZHOROLOG	$ZH	$ZH[OROLOG]	ydb-extension	ProgrammersGuide/isv.rst#$ZHOROLOG	"$ZH[OROLOG] returns 4 comma-separated pieces (for example, ""63638,39194,258602,14400""). The first two pieces are identical to the two pieces of $HOROLOG. $ZHOROLOG is a drop-in replacement for $HOROLOG in all application code of the form $PIECE($HOROLOG,"","",...). For example, $ZHOROLOG can be used as the first argument of $ZDATE(). The third piece is the number of microseconds in the current second. The accuracy of the third piece is subject to the precision of the system clock. The fourth piece is an offset in seconds from UTC, with positive values for time zones west of the `prime meridian <https://en.wikipedia.org/wiki/Prime_meridian>`_ and negative values for time zones east of the prime meridian. For any valid UTC time offset, the fourth piece is a number between 43200 (for TZ=""Etc/GMT+12"") and -50400 (for TZ=""Pacific/Kiritimati""). The value of the fourth piece remains constant all through the year except for those places that observe daylight saving time. To obtain the $HOROLOG representation of UTC, add the fourth piece to the second piece of $ZHOROLOG and proceed as follows:"
$ZICUVER	$ZICUVER	$ZICUVER	ydb-extension	ProgrammersGuide/isv.rst#$ZICUVER	$ZICUVER provides the current International Character Utilities (ICU) version or an empty string if ICU is not available.
$ZININTERRUPT	$ZINI	$ZINI[NTERRUPT]	ydb-extension	ProgrammersGuide/isv.rst#$ZININTERRUPT	$ZINI[NTERRUPT] evaluates to 1 (TRUE) when a process is executing code initiated by the interrupt mechanism, and otherwise 0 (FALSE).
