canonical_name	abbreviation	format	standard_status	in_anno	in_ydb	in_iris	anno_section	ydb_section	iris_section	conflict_id	notes
$ZICUVER	$ZICUVER	$ZICUVER	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZICUVER			
$ZININTERRUPT	$ZINI	$ZINI[NTERRUPT]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZININTERRUPT			
$ZINTERRUPT	$ZINT	$ZINT[ERRUPT]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZINTERRUPT			
$ZIO	$ZIO	$ZIO	multi-vendor-ext	false	true	true		ProgrammersGuide/isv.rst#$ZIO	site/RCOS_vzio.html#RCOS_vzio		
$ZJOB	$ZJ	$ZJ[OB]	multi-vendor-ext	false	true	true		ProgrammersGuide/isv.rst#$ZJOB	site/RCOS_vzjob.html#RCOS_vzjob		
$ZLEVEL	$ZL	$ZL[EVEL]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZLEVEL			
$ZMALLOCLIM	$ZMALL	$ZMALL[OCLIM]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZMALLOCLIM			
$ZMAXTPTIME	$ZMAXTPTI	$ZMAXTPTI[ME]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZMAXTPTIME			
$ZMLKHASH	$ZMLKHASH	$ZMLKHASH	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZMLKHASH			
$ZMODE	$ZMO	$ZMO[DE]	multi-vendor-ext	false	true	true		ProgrammersGuide/isv.rst#$ZMODE	site/RCOS_vzmode.html#RCOS_vzmode		
$ZNSPACE		$ZNSPACE	iris-extension	false	false	true			site/RCOS_vznspace.html#RCOS_vznspace		
$ZONLNRLBK	$ZONLNRLBK	$ZONLNRLBK	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZONLNRLBK			
$ZORDER		$ZORDER $ZO	iris-extension	false	false	true			site/RCOS_vzorder.html#RCOS_vzorder		
$ZPARENT		$ZPARENT $ZP	iris-extension	false	false	true			site/RCOS_vzparent.html#RCOS_vzparent		
$ZPATNUMERIC	$ZPATN	$ZPATN[UMERIC]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZPATNUMERIC			
$ZPI		$ZPI	iris-extension	false	false	true			site/RCOS_vzpi.html#RCOS_vzpi		
$ZPOSITION	$ZPOS	$ZPOS[ITION]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZPOSITION			
$ZPROMPT	$ZPROM	$ZPROM[PT]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZPROMPT			
$ZQUIT	$ZQUIT	$ZQUIT	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZQUIT			
$ZREALSTOR	$ZREALSTOR	$ZREALSTOR	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZREALSTOR			
$ZREFERENCE		$ZREFERENCE $ZR	iris-extension	false	false	true			site/RCOS_vzreference.html#RCOS_vzreference		
$ZRELDATE	$ZRELDATE	$ZRELDATE	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZRELDATE			
$ZROUTINES	$ZRO	$ZRO[UTINES]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZROUTINES			
$ZSOURCE	$ZSO	$ZSO[URCE]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZSOURCE			
$ZSTATUS	$ZS	$ZS[TATUS]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZSTATUS			
$ZSTEP	$ZST	$ZST[EP]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZSTEP			
$ZSTORAGE		$ZSTORAGE $ZS	iris-extension	false	false	true			site/RCOS_vzstorage.html#RCOS_vzstorage		
$ZSTRPLLIM	$ZSTRP	$ZSTRP[LLIM]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZSTRPLLIM			
$ZSYSTEM	$ZSY	$ZSY[STEM]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZSYSTEM			
