concept	name	pragmatic_tier	standard_status	in_anno	in_ydb	in_iris	anno_section	ydb_section	iris_section
commands	WHILE	iris-only	iris-extension	false	false	true			site/RCOS_cwhile.html#RCOS_cwhile
commands	WRITE	core	ansi	true	true	true	pages/a108056.html#8.2.25	ProgrammersGuide/commands.rst#Write	site/RCOS_cwrite.html#RCOS_cwrite
commands	XECUTE	core	ansi	true	true	true	pages/a108057.html#8.2.26	ProgrammersGuide/commands.rst#Xecute	site/RCOS_cxecute.html#RCOS_cxecute
commands	Z	ansi-unimplemented	ansi	true	false	false	pages/a108058.html#8.2.27		
commands	ZALLOCATE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZAllocate	
commands	ZBREAK	core	multi-vendor-ext	false	true	true		ProgrammersGuide/commands.rst#ZBREAK	site/RCOS_czbreak.html#RCOS_czbreak
commands	ZCOMPILE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZCOMpile	
commands	ZCONTINUE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZContinue	
commands	ZDEALLOCATE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZDeallocate	
commands	ZEDIT	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZEdit	
commands	ZGOTO	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZGoto	
commands	ZHALT	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZHALT	
commands	ZHELP	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZHelp	
commands	ZINSERT	iris-only	iris-extension	false	false	true			site/RCOS_czinsert.html#RCOS_czinsert
commands	ZKILL	core	multi-vendor-ext	false	true	true		ProgrammersGuide/commands.rst#ZKill	site/RCOS_czkill.html#RCOS_czkill
commands	ZLINK	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZLink	
commands	ZLOAD	iris-only	iris-extension	false	false	true			site/RCOS_czload.html#RCOS_czload
commands	ZMESSAGE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZMessage	
commands	ZNSPACE	iris-only	iris-extension	false	false	true			site/RCOS_cznspace.html#RCOS_cznspace
commands	ZPRINT	core	multi-vendor-ext	false	true	true		ProgrammersGuide/commands.rst#ZPrint	site/RCOS_czprint.html#RCOS_czprint
commands	ZREMOVE	iris-only	iris-extension	false	false	true			site/RCOS_czremove.html#RCOS_czremove
commands	ZRUPDATE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZRUPdate	
commands	ZSAVE	iris-only	iris-extension	false	false	true			site/RCOS_czsave.html#RCOS_czsave
commands	ZSHOW	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZSHow	
commands	ZSTEP	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZSTep	
commands	ZSU	iris-only	iris-extension	false	false	true			site/RCOS_czsu.html#RCOS_czsu
commands	ZSYSTEM	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZSYstem	
commands	ZTCOMMIT	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZTCommit	
commands	ZTRAP	iris-only	iris-extension	false	false	true			site/RCOS_cztrap.html#RCOS_cztrap
commands	ZTRIGGER	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZTRigger	
commands	ZTSTART	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZTStart	
commands	ZWITHDRAW	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZWIthdraw	
commands	ZWRITE	core	multi-vendor-ext	false	true	true		ProgrammersGuide/commands.rst#ZWRite	site/RCOS_czwrite.html#RCOS_czwrite
commands	ZYDECODE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZYDECODE	
commands	ZYENCODE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/commands.rst#ZYENCODE	
commands	ZZDUMP	iris-only	iris-extension	false	false	true			site/RCOS_czzdump.html#RCOS_czzdump
commands	ZZPRINT	iris-only	iris-extension	false	false	true			site/RCOS_czzprint.html#RCOS_czzprint
commands	ZZWRITE	iris-only	iris-extension	false	false	true			site/RCOS_czzwrite.html#RCOS_czzwrite
intrinsic-functions	$ASCII	core	ansi	true	true	true	pages/a107084.html#7.1.5.1	ProgrammersGuide/functions.rst#$ASCII()	site/RCOS_fascii.html#RCOS_fascii
intrinsic-functions	$BIT	iris-only	iris-extension	false	false	true			site/RCOS_fbit.html#RCOS_fbit
intrinsic-functions	$BITCOUNT	iris-only	iris-extension	false	false	true			site/RCOS_fbitcount.html#RCOS_fbitcount
intrinsic-functions	$BITFIND	iris-only	iris-extension	false	false	true			site/RCOS_fbitfind.html#RCOS_fbitfind
intrinsic-functions	$BITLOGIC	iris-only	iris-extension	false	false	true			site/RCOS_fbitlogic.html#RCOS_fbitlogic
intrinsic-functions	$CASE	iris-only	iris-extension	false	false	true			site/RCOS_fcase.html#RCOS_fcase
intrinsic-functions	$CHANGE	iris-only	iris-extension	false	false	true			site/RCOS_fchange.html#RCOS_fchange
intrinsic-functions	$CHAR	core	ansi	true	true	true	pages/a107085.html#7.1.5.2	ProgrammersGuide/functions.rst#$CHAR()	site/RCOS_fchar.html#RCOS_fchar
intrinsic-functions	$CLASSMETHOD	iris-only	iris-extension	false	false	true			site/RCOS_fclassmethod.html#RCOS_fclassmethod
intrinsic-functions	$CLASSNAME	iris-only	iris-extension	false	false	true			site/RCOS_fclassname.html#RCOS_fclassname
intrinsic-functions	$COMPILE	iris-only	iris-extension	false	false	true			site/RCOS_fcompile.html#RCOS_fcompile
intrinsic-functions	$DATA	core	ansi	true	true	true	pages/a107086.html#7.1.5.3	ProgrammersGuide/functions.rst#$DATA()	site/RCOS_fdata.html#RCOS_fdata
intrinsic-functions	$DECIMAL	iris-only	iris-extension	false	false	true			site/RCOS_fdecimal.html#RCOS_fdecimal
intrinsic-functions	$DEXTRACT	ansi-unimplemented	ansi	true	false	false	pages/a107087.html#7.1.5.4		
