in_anno	in_ydb	ydb_section	standard_status	name	kind	summary
false	true	ProgrammersGuide/ioproc.rst#READSYNC	ansi	READSYNC	device-parameter	[NO]READSYNC Applies to: TRM
false	true	ProgrammersGuide/ioproc.rst#RECORDSIZE	ansi	RECORDSIZE	device-parameter	RECORDSIZE=intexpr Applies to: SD FIFO PIPE
false	true	ProgrammersGuide/ioproc.rst#RENAME	ansi	RENAME	device-parameter	RENAME=expr Applies to: SD
false	true	ProgrammersGuide/ioproc.rst#REPLACE	ansi	REPLACE	device-parameter	REPLACE=expr Applies to SD
false	true	ProgrammersGuide/ioproc.rst#REWIND	ansi	REWIND	device-parameter	REWIND Applies to: SD
false	true	ProgrammersGuide/ioproc.rst#SHELL	ansi	SHELL	device-parameter	SHELL Applies to: PIPE
false	true	ProgrammersGuide/ioproc.rst#SOCKET	ansi	SOCKET	device-parameter	SOCKET=expr Applies to: SOC
false	true	ProgrammersGuide/ioproc.rst#STDERR	ansi	STDERR	device-parameter	STDERR Applies to: PIPE
false	true	ProgrammersGuide/ioproc.rst#STREAM	ansi	STREAM	device-parameter	[NO]STREAM Applies to: SD FIFO PIPE
false	true	ProgrammersGuide/ioproc.rst#TERMINATOR	ansi	TERMINATOR	device-parameter	[NO]TERMINATOR[=expr] Applies to: TRM
false	true	ProgrammersGuide/ioproc.rst#TIMEOUT	ansi	TIMEOUT	device-parameter	TIMEOUT=expr Applies to: PIPE
false	true	ProgrammersGuide/ioproc.rst#TRUNCATE	ansi	TRUNCATE	device-parameter	[NO]TRUNCATE Applies to: SD
false	true	ProgrammersGuide/ioproc.rst#TTSYNC	ansi	TTSYNC	device-parameter	[NO]TTSYNC Applies to: TRM
false	true	ProgrammersGuide/ioproc.rst#TYPEAHEAD	ansi	TYPEAHEAD	device-parameter	[NO]TYPEAHEAD Applies to: TRM
false	true	ProgrammersGuide/ioproc.rst#UIC	ansi	UIC	device-parameter	UIC=expr Applies to: SOC(LOCAL) SD FIFO
false	true	ProgrammersGuide/ioproc.rst#UPSCROLL	ansi	UPSCROLL	device-parameter	UPSCROLL Applies to: TRM
false	true	ProgrammersGuide/ioproc.rst#VARIABLE	ansi	VARIABLE	device-parameter	VARIABLE Applies to: SD FIFO PIPE
false	true	ProgrammersGuide/ioproc.rst#WIDTH	ansi	WIDTH	device-parameter	[Z]WIDTH=intexpr Applies to: TRM SOC NULL SD FIFO PIPE
false	true	ProgrammersGuide/ioproc.rst#WORLD	ansi	WORLD	device-parameter	WORLD=expr Applies to: SOC(LOCAL) SD FIFO
false	true	ProgrammersGuide/ioproc.rst#WRAP	ansi	WRAP	device-parameter	[NO]WRAP Applies to: TRM SD NULL FIFO PIPE SOC
false	true	ProgrammersGuide/ioproc.rst#WRITEONLY	ansi	WRITEONLY	device-parameter	[NO]WRITEONLY Applies to: PIPE
false	true	ProgrammersGuide/ioproc.rst#ZBFSIZE	ydb-extension	ZBFSIZE	device-parameter	ZBFSIZE Applies to: SOC
false	true	ProgrammersGuide/ioproc.rst#ZDELAY	ydb-extension	ZDELAY	device-parameter	Z[NO]DELAY Applies to: SOC(TCP)
false	true	ProgrammersGuide/ioproc.rst#ZFF	ydb-extension	ZFF	device-parameter	Z[NO]FF=expr Applied to: SOC
false	true	ProgrammersGuide/ioproc.rst#ZIBFSIZE	ydb-extension	ZIBFSIZE	device-parameter	ZIBFSIZE Applies to: SOC
