in_anno	in_ydb	ydb_section	standard_status	mnemonic	summary	kind
false	true	MessageRecovery/errors.rst#BADCONNECTPARAM	ydb-extension	BADCONNECTPARAM	Error parsing or invalid XXXX	Error
false	true	MessageRecovery/errors.rst#BADDBVER	ydb-extension	BADDBVER	Incorrect database version: xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#BADGBLSECVER	ydb-extension	BADGBLSECVER	Global Section xxxx does not match the current database version	Run Time Error
false	true	MessageRecovery/errors.rst#BADGTMNETMSG	ydb-extension	BADGTMNETMSG	Invalid message sent to GT.CM server, type: xxxx	Error
false	true	MessageRecovery/errors.rst#BADJPIPARAM	ydb-extension	BADJPIPARAM	xxxx is not a legal parameter for $ZGETJPI()	Run Time Error
false	true	MessageRecovery/errors.rst#BADLKIPARAM	ydb-extension	BADLKIPARAM	xxxx is not a legal parameter for $ZGETLKI()	Run Time Error
false	true	MessageRecovery/errors.rst#BADLOCKNEST	ydb-extension	BADLOCKNEST	Unsupported nesting of LOCK commands	Run Time Error
false	true	MessageRecovery/errors.rst#BADPARAMCOUNT	ydb-extension	BADPARAMCOUNT	-CONNECTPARAMS accepts one to six parameter values	Error
false	true	MessageRecovery/errors.rst#BADQUAL	ydb-extension	BADQUAL	Unrecognized qualifier: xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#BADREGION	ydb-extension	BADREGION	Region is not BG, MM, or CM	Error
false	true	MessageRecovery/errors.rst#BADSRVRNETMSG	ydb-extension	BADSRVRNETMSG	Invalid message received from GT.CM server	Run Time Error
false	true	MessageRecovery/errors.rst#BADSYIPARAM	ydb-extension	BADSYIPARAM	xxxx is not a legal parameter for $ZGETSYI()	Run Time Error
false	true	MessageRecovery/errors.rst#BADTRNPARAM	ydb-extension	BADTRNPARAM	xxxx is not a legal parameter to $ZTRNLNM	Run Time Error
false	true	MessageRecovery/errors.rst#BADZPEEKARG	ydb-extension	BADZPEEKARG	Missing, invalid or surplus xxxx parameter for $ZPEEK()	Run Time Error
false	true	MessageRecovery/errors.rst#BADZPEEKFMT	ydb-extension	BADZPEEKFMT	$ZPEEK() value length inappropriate for selected format	Run Time Error
false	true	MessageRecovery/errors.rst#BADZPEEKRANGE	ydb-extension	BADZPEEKRANGE	Access exception raised in memory range given to $ZPEEK()	Run Time Error
false	true	MessageRecovery/errors.rst#BADZYENZYDENEST	ydb-extension	BADZYENZYDENEST	Unsupported nesting of ZYENCODE or ZYDECODE command	Run Time Error
false	true	MessageRecovery/errors.rst#BCKUPBUFLUSH	ydb-extension	BCKUPBUFLUSH	Unable to flush buffer for online backup	Error
false	true	MessageRecovery/errors.rst#BEGINST	ydb-extension	BEGINST	Beginning LOAD at record number: xxxx	Information
false	true	MessageRecovery/errors.rst#BEGSEQGTENDSEQ	ydb-extension	BEGSEQGTENDSEQ	Journal file xxxx has beginning sequence number [aaaa] greater than end sequence number [bbbb]	Error
false	true	MessageRecovery/errors.rst#BFRQUALREQ	ydb-extension	BFRQUALREQ	The [NO]BEFORE qualifier is required for this command	Error
false	true	MessageRecovery/errors.rst#BITMAPSBAD	ydb-extension	BITMAPSBAD	Database bit maps are incorrect	Run Time Error
false	true	MessageRecovery/errors.rst#BKUPFILEPERM	ydb-extension	BKUPFILEPERM	Backup file dddd does not have write permission	Information
false	true	MessageRecovery/errors.rst#BKUPPROGRESS	ydb-extension	BKUPPROGRESS	Transfer : cccc / tttt (pppp%) ; Speed : zzzz MiB/sec ; Transactions : nnnn ; Estimated time left : tt minutes	Information
false	true	MessageRecovery/errors.rst#BKUPRETRY	ydb-extension	BKUPRETRY	Retrying MUPIP BACKUP for region: rrrr (database file: dddd). Attempt: #nnnn of mmmm	Information
false	true	MessageRecovery/errors.rst#BKUPRUNNING	ydb-extension	BKUPRUNNING	Process dddd is currently backing up region xxxx. Cannot start another backup.	Error
false	true	MessageRecovery/errors.rst#BKUPTMPFILOPEN	ydb-extension	BKUPTMPFILOPEN	Open of backup temporary file aaaa failed	Run Time Error
false	true	MessageRecovery/errors.rst#BKUPTMPFILWRITE	ydb-extension	BKUPTMPFILWRITE	Write to backup temporary file aaaa failed	Run Time Error
false	true	MessageRecovery/errors.rst#BLKCNTEDITFAIL	ydb-extension	BLKCNTEDITFAIL	Mupip recover or rollback failed to correct the block count field in the file header for file xxxx	Information
false	true	MessageRecovery/errors.rst#BLKINVALID	ydb-extension	BLKINVALID	bbbb is not a valid block as database file ffff has nnnn total blocks	Error
false	true	MessageRecovery/errors.rst#BLKSIZ512	ydb-extension	BLKSIZ512	Block size xxxx rounds to yyyy	Information
false	true	MessageRecovery/errors.rst#BLKTOODEEP	ydb-extension	BLKTOODEEP	Block level too deep	Compile Time Error
false	true	MessageRecovery/errors.rst#BOMMISMATCH	ydb-extension	BOMMISMATCH	XXX Byte Order Marker found when YYY character set specified	Run Time Error
false	true	MessageRecovery/errors.rst#BOOLEXPRTOODEEP	ydb-extension	BOOLEXPRTOODEEP	Boolean expression depth exceeds maximum supported limit of 2047	Run Time Error
false	true	MessageRecovery/errors.rst#BOOLSIDEFFECT	ydb-extension	BOOLSIDEFFECT	Extrinsic ($$), External call ($&) or $INCREMENT() with potential side effects in Boolean expression	Warning
false	true	MessageRecovery/errors.rst#BOVTMGTEOVTM	ydb-extension	BOVTMGTEOVTM	Journal file xxxx has beginning timestamp [aaaa] greater than end timestamp [bbbb]	Error
