in_anno	in_ydb	ydb_section	standard_status	mnemonic	summary	kind
false	true	MessageRecovery/errors.rst#DUPTOKEN	ydb-extension	DUPTOKEN	Token xxxx is duplicate in the journal file yyyy for database zzzz	Error
false	true	MessageRecovery/errors.rst#DVIKEYBAD	ydb-extension	DVIKEYBAD	"$ZGETDVI(""xxxx"",""yyyy"") contains an illegal keyword"	Run Time Error
false	true	MessageRecovery/errors.rst#DYNUPGRDFAIL	ydb-extension	DYNUPGRDFAIL	Unable to dynamically upgrade block aaa in database yyy due to lack of free space in block	Run Time Error
false	true	MessageRecovery/errors.rst#DZTRIGINTRIG	ydb-extension	DZTRIGINTRIG	$ZTRIGGER() is not allowed inside trigger context. Trigger name: nnnn	Run Time Error
false	true	MessageRecovery/errors.rst#DZWRNOALIAS	ydb-extension	DZWRNOALIAS	$ZWRTAC cannot be aliased	Compile Time Error
false	true	MessageRecovery/errors.rst#DZWRNOPAREN	ydb-extension	DZWRNOPAREN	$ZWRTACxxx is not allowed inside a parenthesized SET target	Compile Time Error
false	true	MessageRecovery/errors.rst#ECLOSTMID	ydb-extension	ECLOSTMID	$ECODE overflow, the first and last ecodes are retained, but some intervening ecodes have been lost	Warning
false	true	MessageRecovery/errors.rst#ENCRYPTCONFLT	ydb-extension	ENCRYPTCONFLT	MUPIP REORG -ENCRYPT and MUPIP EXTRACT -FORMAT=BIN cannot run concurrently - skipping oooo on region: rrrr, file: ffff	Error
false	true	MessageRecovery/errors.rst#ENCRYPTCONFLT2	ydb-extension	ENCRYPTCONFLT2	A concurrent MUPIP REORG -ENCRYPT changed the encryption key for RRRR before the process could initialize it	Warning
false	true	MessageRecovery/errors.rst#ENDIANCVT	ydb-extension	ENDIANCVT	Converted database file xxxx from yyyy endian to zzzz endian on a wwww endian system	Information
false	true	MessageRecovery/errors.rst#ENOSPCQIODEFER	ydb-extension	ENOSPCQIODEFER	Write to file FFFF deferred due to lack of disk space	Information
false	true	MessageRecovery/errors.rst#EORNOTFND	ydb-extension	EORNOTFND	xxxx End of record not found	Error
false	true	MessageRecovery/errors.rst#EPOCHTNHI	ydb-extension	EPOCHTNHI	At the EPOCH record at offset xxxx of yyyy transaction number [aaaa] is higher than database transaction number [bbbb]	Error
false	true	MessageRecovery/errors.rst#EQUAL	ydb-extension	EQUAL	Equal sign expected but not found	Compile Time Error
false	true	MessageRecovery/errors.rst#ERRCALL	ydb-extension	ERRCALL	Error called from xxxx line yyyy	Run Time Error
false	true	MessageRecovery/errors.rst#ERRORSUMMARY	ydb-extension	ERRORSUMMARY	Errors occurred during compilation	Compile Time Error
false	true	MessageRecovery/errors.rst#ERRWETRAP	ydb-extension	ERRWETRAP	Error while processing $ETRAP	Run Time Error
false	true	MessageRecovery/errors.rst#ERRWEXC	ydb-extension	ERRWEXC	Error while processing exception string	Run Time Error
false	true	MessageRecovery/errors.rst#ERRWIOEXC	ydb-extension	ERRWIOEXC	Error while processing I/O exception string	Run Time Error
false	true	MessageRecovery/errors.rst#ERRWZBRK	ydb-extension	ERRWZBRK	Error while processing ZBREAK action string	Run Time Error
false	true	MessageRecovery/errors.rst#ERRWZINTR	ydb-extension	ERRWZINTR	Error while processing $ZINTERRUPT	Run Time Error
false	true	MessageRecovery/errors.rst#ERRWZTIMEOUT	ydb-extension	ERRWZTIMEOUT	Error while processing $ZTIMEOUT	Run Time Error
false	true	MessageRecovery/errors.rst#ERRWZTRAP	ydb-extension	ERRWZTRAP	Error while processing $ZTRAP	Run Time Error
false	true	MessageRecovery/errors.rst#EVENTLOGERR	ydb-extension	EVENTLOGERR	Error in event logging subsystem	Run Time Error
false	true	MessageRecovery/errors.rst#EXCEEDRCTLRNDWN	ydb-extension	EXCEEDRCTLRNDWN	Maximum relinkctl rundown retries limit of nnnn exceeded	Error
false	true	MessageRecovery/errors.rst#EXCEEDSPREALLOC	ydb-extension	EXCEEDSPREALLOC	Preallocated size ssss for M external call label LLLL exceeded by string of length SSSS	Error
false	true	MessageRecovery/errors.rst#EXCLUDEREORG	ydb-extension	EXCLUDEREORG	Global: xxxx is present in the EXCLUDE option. REORG will skip the global.	Warning
false	true	MessageRecovery/errors.rst#EXECOM	ydb-extension	EXECOM	Executing command file xxxx	Information
false	true	MessageRecovery/errors.rst#EXITSTATUS	ydb-extension	EXITSTATUS	Unexpected process exit (xxxx), exit status aaaa -- called from module yyyy at line zzzz	Run Time Error
false	true	MessageRecovery/errors.rst#EXPR	ydb-extension	EXPR	Expression expected but not found	Compile Time Error
false	true	MessageRecovery/errors.rst#EXTCALLBOUNDS	ydb-extension	EXTCALLBOUNDS	Wrote outside bounds of external call buffer. M label: LLLL	Fatal
false	true	MessageRecovery/errors.rst#EXTGBLDEL	ydb-extension	EXTGBLDEL	Invalid delimiter for extended global syntax	Run Time Error
false	true	MessageRecovery/errors.rst#EXTRACTCTRLY	ydb-extension	EXTRACTCTRLY	User interrupt encountered during extract -- halting	Warning
false	true	MessageRecovery/errors.rst#EXTRACTFILERR	ydb-extension	EXTRACTFILERR	Error with extract file xxxx	Error
false	true	MessageRecovery/errors.rst#EXTRFAIL	ydb-extension	EXTRFAIL	Extract failed for the global ^gggg. MUPIP INTEG should be run.	Error
false	true	MessageRecovery/errors.rst#EXTRFILEXISTS	ydb-extension	EXTRFILEXISTS	Error opening output file: ffff -- File exists	Run Time Error
false	true	MessageRecovery/errors.rst#EXTRFMT	ydb-extension	EXTRFMT	Extract error: invalid record format - no records found.	Error
false	true	MessageRecovery/errors.rst#EXTRINTEGRITY	ydb-extension	EXTRINTEGRITY	Database ffff potentially contains spanning nodes or data encrypted with two different keys	Error
false	true	MessageRecovery/errors.rst#EXTSRCLIN	ydb-extension	EXTSRCLIN	xxxx yyyy	Run Time Error
false	true	MessageRecovery/errors.rst#EXTSRCLOC	ydb-extension	EXTSRCLOC	At column xxxx, line yyyy, source module zzzz	Run Time Error
false	true	MessageRecovery/errors.rst#FAILEDRECCOUNT	ydb-extension	FAILEDRECCOUNT	LOAD unable to process MMMM records	Error
false	true	MessageRecovery/errors.rst#FALLINTOFLST	ydb-extension	FALLINTOFLST	Fall-through to a label with formallist is not allowed	Run Time Error
false	true	MessageRecovery/errors.rst#FATALERROR1	ydb-extension	FATALERROR1	Fatal error raised. Generating core and terminating process. Error: <error>.	Run Time Error
false	true	MessageRecovery/errors.rst#FATALERROR2	ydb-extension	FATALERROR2	Fatal error raised. Bypassing core generation and terminating process. Error: <error>	Run Time Error
false	true	MessageRecovery/errors.rst#FCHARMAXARGS	ydb-extension	FCHARMAXARGS	Argument count of $CHAR function exceeded the maximum of 255	Compile Time Error
false	true	MessageRecovery/errors.rst#FCNSVNEXPECTED	ydb-extension	FCNSVNEXPECTED	Function or special variable expected in this context	Compile Time Error
false	true	MessageRecovery/errors.rst#FDSIZELMT	ydb-extension	FDSIZELMT	Too many nnnn descriptors needed by GT.CM server	Error
false	true	MessageRecovery/errors.rst#FILECREATE	ydb-extension	FILECREATE	AAAA file xxxx created	Information
false	true	MessageRecovery/errors.rst#FILECREERR	ydb-extension	FILECREERR	Error OOOO for file DDDD during DB creation	Error
false	true	MessageRecovery/errors.rst#FILEDEL	ydb-extension	FILEDEL	File xxxx successfully deleted	Information
false	true	MessageRecovery/errors.rst#FILEDELFAIL	ydb-extension	FILEDELFAIL	Deletion of file xxxx failed	Warning
false	true	MessageRecovery/errors.rst#FILEEXISTS	ydb-extension	FILEEXISTS	File xxxx already exists	Error
false	true	MessageRecovery/errors.rst#FILEIDGBLSEC	ydb-extension	FILEIDGBLSEC	File ID in global section does not match with the database file xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#FILEIDMATCH	ydb-extension	FILEIDMATCH	Saved File ID does not match the current ID - the file appears to have been moved	Run Time Error
false	true	MessageRecovery/errors.rst#FILENAMETOOLONG	ydb-extension	FILENAMETOOLONG	File name too long	Information
false	true	MessageRecovery/errors.rst#FILENOTCREATE	ydb-extension	FILENOTCREATE	AAAA file xxxx not created	Information
false	true	MessageRecovery/errors.rst#FILENOTFND	ydb-extension	FILENOTFND	File xxxx not found	Run Time Error
false	true	MessageRecovery/errors.rst#FILEOPENFAIL	ydb-extension	FILEOPENFAIL	Failed to open file ffff	Error
false	true	MessageRecovery/errors.rst#FILEPARSE	ydb-extension	FILEPARSE	Error parsing file specification: xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#FILEPATHTOOLONG	ydb-extension	FILEPATHTOOLONG	Filename including the path cannot be longer than 255 characters	Error
false	true	MessageRecovery/errors.rst#FILERENAME	ydb-extension	FILERENAME	File xxxx is renamed to yyyy	Information
false	true	MessageRecovery/errors.rst#FILTERBADCONV	ydb-extension	FILTERBADCONV	Bad conversion of seqno xxxx by filter	Run Time Error
false	true	MessageRecovery/errors.rst#FILTERCOMM	ydb-extension	FILTERCOMM	Error communicating seqno xxxx with the filter	Run Time Error
false	true	MessageRecovery/errors.rst#FILTERNOTALIVE	ydb-extension	FILTERNOTALIVE	Replication server detected that the filter is not alive while attempting to send seqno xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#FILTERTIMEDOUT	ydb-extension	FILTERTIMEDOUT	Replication server timed out attempting to read seqno ssss from external filter	Error
false	true	MessageRecovery/errors.rst#FMLLSTMISSING	ydb-extension	FMLLSTMISSING	The formal list is absent from a label called with an actual list: xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#FNARGINC	ydb-extension	FNARGINC	"Format specifiers to $FNUMBER are incompatible: ""xxxx"""	Run Time Error
false	true	MessageRecovery/errors.rst#FNNAMENEG	ydb-extension	FNNAMENEG	Depth argument to $NAME cannot be negative	Run Time Error
false	true	MessageRecovery/errors.rst#FNOTONSYS	ydb-extension	FNOTONSYS	Function or special variable is not supported by this operating system	Compile Time Error
false	true	MessageRecovery/errors.rst#FNTRANSERROR	ydb-extension	FNTRANSERROR	Filename including path exceeded 255 chars while trying to resolve filename FFFF	Error
false	true	MessageRecovery/errors.rst#FNUMARG	ydb-extension	FNUMARG	"$FNUMBER format specifier ""xxxx"" contains an illegal character: ""yyyy"""	Run Time Error
false	true	MessageRecovery/errors.rst#FORCEDHALT	ydb-extension	FORCEDHALT	Image HALTed by MUPIP STOP	Warning
false	true	MessageRecovery/errors.rst#FORCEDHALT2	ydb-extension	FORCEDHALT2	Receipt of 3 MUPIP STOP signals within xxxx seconds, process: yyyy shutting down with no exit handling like a kill -9	Fatal
false	true	MessageRecovery/errors.rst#FOROFLOW	ydb-extension	FOROFLOW	FOR commands nested more than xxxx deep on a line	Compile Time Error
false	true	MessageRecovery/errors.rst#FREEBLKSLOW	ydb-extension	FREEBLKSLOW	Only bbbb free blocks left out of tttt total blocks for ffff	Warning
false	true	MessageRecovery/errors.rst#FREEMEMORY	ydb-extension	FREEMEMORY	Error occurred freeing memory from xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#FREEZE	ydb-extension	FREEZE	Region: xxxx is already frozen	Information
false	true	MessageRecovery/errors.rst#FREEZECTRL	ydb-extension	FREEZECTRL	Control Y or control C encountered during attempt to freeze the database. Aborting freeze.	Information
false	true	MessageRecovery/errors.rst#FREEZEERR	ydb-extension	FREEZEERR	Error while trying to ffff region rrrr	Error
false	true	MessageRecovery/errors.rst#FSEXP	ydb-extension	FSEXP	File specification expected but not found	Run Time Error
false	true	MessageRecovery/errors.rst#FTOKERR	ydb-extension	FTOKERR	Error getting ftok of the file xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#FTOKKEY	ydb-extension	FTOKKEY	FTOK key nnnn	Information
false	true	MessageRecovery/errors.rst#GBLEXPECTED	ydb-extension	GBLEXPECTED	Global variable reference expected in this context	Error
false	true	MessageRecovery/errors.rst#GBLMODFAIL	ydb-extension	GBLMODFAIL	Global variable Conflict Test failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GBLNAMCOLLRANGE	ydb-extension	GBLNAMCOLLRANGE	Collation sequence #nnnn is out of range (0 thru 255)	Error
false	true	MessageRecovery/errors.rst#GBLNAMCOLLUNDEF	ydb-extension	GBLNAMCOLLUNDEF	Error opening shared library of collation sequence #nnnn for GBLNAME gggg	Error
false	true	MessageRecovery/errors.rst#GBLNAMCOLLVER	ydb-extension	GBLNAMCOLLVER	Global directory indicates GBLNAME gggg has collation sequence #nnnn with a version #vvvv but shared library reports different version #llll	Error
false	true	MessageRecovery/errors.rst#GBLNAME	ydb-extension	GBLNAME	Either an identifier or a left parenthesis is expected after a ^ in this context	Compile Time Error
false	true	MessageRecovery/errors.rst#GBLNAMEIS	ydb-extension	GBLNAMEIS	in gblname gggg	Information
false	true	MessageRecovery/errors.rst#GBLNOEXIST	ydb-extension	GBLNOEXIST	Global xxxx no longer exists	Information
false	true	MessageRecovery/errors.rst#GBLNOMAPTOREG	ydb-extension	GBLNOMAPTOREG	Global gggg does not map to region rrrr in current global directory	Run Time Error
false	true	MessageRecovery/errors.rst#GBLOFLOW	ydb-extension	GBLOFLOW	Database file FFFF is full	Error
false	true	MessageRecovery/errors.rst#GBLSECNOTGDS	ydb-extension	GBLSECNOTGDS	Global Section xxxx is not a YottaDB global section	Run Time Error
false	true	MessageRecovery/errors.rst#GDCREATE	ydb-extension	GDCREATE	Creating Global Directory file xxxx	Information
false	true	MessageRecovery/errors.rst#GDEASYNCIONOMM	ydb-extension	GDEASYNCIONOMM	ssss segment has ASYNCIO turned on. Cannot support MM access method.	Error
false	true	MessageRecovery/errors.rst#GDECHECK	ydb-extension	GDECHECK	Internal GDE consistency check	Fatal
false	true	MessageRecovery/errors.rst#GDECRYPTNOMM	ydb-extension	GDECRYPTNOMM	ssss segment has encryption turned on. Cannot support MM access method.	Error
false	true	MessageRecovery/errors.rst#GDELOGFAIL	ydb-extension	GDELOGFAIL	GDE failed to log command. Check operator log for more information	Error
false	true	MessageRecovery/errors.rst#GDINVALID	ydb-extension	GDINVALID	Unrecognized Global Directory file format: ffff, expected label: eeee, found: bbbb	Run Time Error
false	true	MessageRecovery/errors.rst#GDNOTSET	ydb-extension	GDNOTSET	Global Directory not changed because the current GD cannot be written	Information
false	true	MessageRecovery/errors.rst#GDREADERR	ydb-extension	GDREADERR	Error reading Global Directory: xxxx	Information
false	true	MessageRecovery/errors.rst#GDUNKNFMT	ydb-extension	GDUNKNFMT	xxxx is not formatted as a Global Directory	Information
false	true	MessageRecovery/errors.rst#GDUPDATE	ydb-extension	GDUPDATE	Updating Global Directory file xxxx	Information
false	true	MessageRecovery/errors.rst#GDUSEDEFS	ydb-extension	GDUSEDEFS	Using defaults for Global Directory xxxx	Information
false	true	MessageRecovery/errors.rst#GETADDRINFO	ydb-extension	GETADDRINFO	Error in getting address info	Run Time Error
false	true	MessageRecovery/errors.rst#GETNAMEINFO	ydb-extension	GETNAMEINFO	Error in getting name info	Run Time Error
false	true	MessageRecovery/errors.rst#GETSOCKNAMERR	ydb-extension	GETSOCKNAMERR	Getting the socket name failed from getsockname(): (errno==aaaa) xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#GETSOCKOPTERR	ydb-extension	GETSOCKOPTERR	Getting the socket attribute xxxx failed: (errno == yyyy) zzzz	Run Time Error
false	true	MessageRecovery/errors.rst#GOQPREC	ydb-extension	GOQPREC	Numeric precision in key error: Blk #xxxx, Key #yyyy. Record not loaded.	Information
false	true	MessageRecovery/errors.rst#GTMASSERT	ydb-extension	GTMASSERT	xxxx - Assert failed yyyy line zzzz	Fatal
false	true	MessageRecovery/errors.rst#GTMASSERT2	ydb-extension	GTMASSERT2	YottaDB eeee - Assert failed LLLL for expression (eeee)	Fatal
false	true	MessageRecovery/errors.rst#GTMCHECK	ydb-extension	GTMCHECK	Internal YottaDB error--Report to your YottaDB Support Channel	Fatal
false	true	MessageRecovery/errors.rst#GTMCURUNSUPP	ydb-extension	GTMCURUNSUPP	The requested operation is unsupported in this version of YottaDB	Error
false	true	MessageRecovery/errors.rst#GTMEISDIR	ydb-extension	GTMEISDIR	dddd : Is a directory	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHR	ydb-extension	GTMSECSHR	xxxx : Error during gtmsecshr operation	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRBADDIR	ydb-extension	GTMSECSHRBADDIR	gtmsecshr is not running from $ydb_dist/gtmsecshrdir or $ydb_dist cannot be determined	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRCHDIRF	ydb-extension	GTMSECSHRCHDIRF	gtmsecshr unable to chdir to its temporary directory (dddd)	Error
false	true	MessageRecovery/errors.rst#GTMSECSHRDMNSTARTED	ydb-extension	GTMSECSHRDMNSTARTED	gtmsecshr daemon started for version vvvv from dddd using socket file ssss	Information
false	true	MessageRecovery/errors.rst#GTMSECSHRFORKF	ydb-extension	GTMSECSHRFORKF	gtmsecshr server unable to fork off a child process	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRGETSEMFAIL	ydb-extension	GTMSECSHRGETSEMFAIL	error getting semaphore errno = xxxx	Error
false	true	MessageRecovery/errors.rst#GTMSECSHRISNOT	ydb-extension	GTMSECSHRISNOT	gtmsecshr is not running as gtmsecshr but xxxxx - must be gtmsecshr	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRNOARG0	ydb-extension	GTMSECSHRNOARG0	gtmsecshr cannot identify its origin - argv[0] is null	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHROPCMP	ydb-extension	GTMSECSHROPCMP	gtmsecshr operation may be compromised	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRPERM	ydb-extension	GTMSECSHRPERM	The gtmsecshr module in $ydb_dist (DDDD) does not have the correct permission: PPPP, and UID: UUUU	Warning
false	true	MessageRecovery/errors.rst#GTMSECSHRRECVF	ydb-extension	GTMSECSHRRECVF	gtmsecshr receive on server socket failed	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRREMFILE	ydb-extension	GTMSECSHRREMFILE	[client pid pppp] File (ffff) removed	Information
false	true	MessageRecovery/errors.rst#GTMSECSHRREMSEM	ydb-extension	GTMSECSHRREMSEM	[client pid pppp] Semaphore (ssss) removed	Error
false	true	MessageRecovery/errors.rst#GTMSECSHRREMSEMFAIL	ydb-extension	GTMSECSHRREMSEMFAIL	error removing semaphore errno = xxxx	Error
false	true	MessageRecovery/errors.rst#GTMSECSHRREMSHM	ydb-extension	GTMSECSHRREMSHM	[client pid pppp] Shared memory segment (ssss) removed, nattch = nnnn	Information
false	true	MessageRecovery/errors.rst#GTMSECSHRSCKSEL	ydb-extension	GTMSECSHRSCKSEL	gtmsecshr select on socket failed	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRSEMGET	ydb-extension	GTMSECSHRSEMGET	semget error errno = xxxx	Error
false	true	MessageRecovery/errors.rst#GTMSECSHRSENDF	ydb-extension	GTMSECSHRSENDF	gtmsecshr send on server socket failed	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRSGIDF	ydb-extension	GTMSECSHRSGIDF	gtmsecshr server setgid to root failed	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRSHMCONCPROC	ydb-extension	GTMSECSHRSHMCONCPROC	More than one process attached to Shared memory segment (ssss) not removed (nnnn)	Error
false	true	MessageRecovery/errors.rst#GTMSECSHRSHUTDN	ydb-extension	GTMSECSHRSHUTDN	gtmsecshr process has received a shutdown request -- shutting down	Information
false	true	MessageRecovery/errors.rst#GTMSECSHRSOCKET	ydb-extension	GTMSECSHRSOCKET	xxxx - yyyy : Error initializing gtmsecshr socket	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRSRVF	ydb-extension	GTMSECSHRSRVF	xxxx - yyyy : Attempt to service request failed (retry = zzzz)	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRSRVFID	ydb-extension	GTMSECSHRSRVFID	xxxx: yyyy - Attempt to service request failed. client id: zzzz, mesg type: aaaa, mesg data: bbbb	Warning
false	true	MessageRecovery/errors.rst#GTMSECSHRSRVFIL	ydb-extension	GTMSECSHRSRVFIL	xxxx: yyyy - Attempt to service request failed. client id: zzzz, mesg type: aaaa file: bbbb	Warning
false	true	MessageRecovery/errors.rst#GTMSECSHRSSIDF	ydb-extension	GTMSECSHRSSIDF	gtmsecshr server setsid failed	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRSTART	ydb-extension	GTMSECSHRSTART	xxxx - yyyy : gtmsecshr failed to startup	Warning
false	true	MessageRecovery/errors.rst#GTMSECSHRSUIDF	ydb-extension	GTMSECSHRSUIDF	gtmsecshr server setuid to root failed	Run Time Error
false	true	MessageRecovery/errors.rst#GTMSECSHRTMOUT	ydb-extension	GTMSECSHRTMOUT	gtmsecshr exiting due to idle timeout	Information
false	true	MessageRecovery/errors.rst#GTMSECSHRTMPPATH	ydb-extension	GTMSECSHRTMPPATH	gtmsecshr path is pppp	Information
false	true	MessageRecovery/errors.rst#GTMSECSHRUPDDBHDR	ydb-extension	GTMSECSHRUPDDBHDR	[client pid pppp] database fileheader (dddd) updated iiii	Information
false	true	MessageRecovery/errors.rst#GVDATAFAIL	ydb-extension	GVDATAFAIL	Global variable $DATA function failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVDATAGETFAIL	ydb-extension	GVDATAGETFAIL	Global variable DATAGET sub-operation (in KILL function) failed. Failure code: cccc.	Run Time Error
false	true	MessageRecovery/errors.rst#GVDBGNAKEDMISMATCH	ydb-extension	GVDBGNAKEDMISMATCH	Invalid GVNAKED in gv_optimize: $REFERENCE did not match OP_GVNAKED: AAAA != BBBB. Opcodes seen: CCCC	Run Time Error
false	true	MessageRecovery/errors.rst#GVDBGNAKEDUNSET	ydb-extension	GVDBGNAKEDUNSET	Invalid GVNAKED in gv_optimize: $REFERENCE was unset. Opcodes seen: CCCC	Run Time Error
false	true	MessageRecovery/errors.rst#GVFAILCORE	ydb-extension	GVFAILCORE	A core file is being created for later analysis if necessary	Run Time Error
false	true	MessageRecovery/errors.rst#GVGETFAIL	ydb-extension	GVGETFAIL	Global variable retrieval failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVINCRFAIL	ydb-extension	GVINCRFAIL	Global variable $INCR failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVINVALID	ydb-extension	GVINVALID	xxxx Invalid global name	Error
false	true	MessageRecovery/errors.rst#GVIS	ydb-extension	GVIS	Global variable: xxxx	Information
false	true	MessageRecovery/errors.rst#GVKILLFAIL	ydb-extension	GVKILLFAIL	Global variable kill failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVNAKED	ydb-extension	GVNAKED	Illegal naked global reference	Run Time Error
false	true	MessageRecovery/errors.rst#GVNAKEDEXTNM	ydb-extension	GVNAKEDEXTNM	Cannot reference different global directory in a naked reference	Compile Time Error
false	true	MessageRecovery/errors.rst#GVNUNSUPPORTED	ydb-extension	GVNUNSUPPORTED	Global variable name xxxx not supported in yyyy call	Run Time Error
false	true	MessageRecovery/errors.rst#GVORDERFAIL	ydb-extension	GVORDERFAIL	Global variable $ORDER or $NEXT function failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVPUTFAIL	ydb-extension	GVPUTFAIL	Global variable put failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVQUERYFAIL	ydb-extension	GVQUERYFAIL	Global variable $QUERY function failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVQUERYGETFAIL	ydb-extension	GVQUERYGETFAIL	Global variable QUERY and GET failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVRUNDOWN	ydb-extension	GVRUNDOWN	Error during global database rundown	Run Time Error
false	true	MessageRecovery/errors.rst#GVSUBOFLOW	ydb-extension	GVSUBOFLOW	Maximum combined length of subscripts exceeded	Run Time Error
false	true	MessageRecovery/errors.rst#GVUNDEF	ydb-extension	GVUNDEF	Global variable undefined: xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#GVZPREVFAIL	ydb-extension	GVZPREVFAIL	Global variable $ZPREVIOUS function failed. Failure code: xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#GVZTRIGFAIL	ydb-extension	GVZTRIGFAIL	ZTRIGGER of a global variable failed. Failure code: cccc.	Run Time Error
false	true	MessageRecovery/errors.rst#HEX64ERR	ydb-extension	HEX64ERR	Error: cannot convert VVVV value to 64 bit hexadecimal number	Error
false	true	MessageRecovery/errors.rst#HEXERR	ydb-extension	HEXERR	Error: cannot convert VVVV value to hexadecimal number	Error
false	true	MessageRecovery/errors.rst#HLPPROC	ydb-extension	HLPPROC	Helper Process error	Error
false	true	MessageRecovery/errors.rst#HOSTCONFLICT	ydb-extension	HOSTCONFLICT	Host hhhh could not open database file dddd because it is marked as already open on node nnnn	Run Time Error
false	true	MessageRecovery/errors.rst#HTOFLOW	ydb-extension	HTOFLOW	Hash table overflow: Failed to allocate xxxx elements	Error
false	true	MessageRecovery/errors.rst#HTSHRINKFAIL	ydb-extension	HTSHRINKFAIL	Hash table compaction failed to allocate new smaller table due to lack of memory	Run Time Error
false	true	MessageRecovery/errors.rst#ICUERROR	ydb-extension	ICUERROR	ICU returned status ssss which is either unrecognized or inconsistent with the operating context	Run Time Error
false	true	MessageRecovery/errors.rst#ICUNOTENABLED	ydb-extension	ICUNOTENABLED	ICU libraries not loaded	Warning
false	true	MessageRecovery/errors.rst#ICUSYMNOTFOUND	ydb-extension	ICUSYMNOTFOUND	Symbol xxxxx not found in the ICU libraries. ICU needs to be built with symbol-renaming disabled or xxxxx environment variable needs to be properly specified	Run Time Error
false	true	MessageRecovery/errors.rst#ICUVERLT36	ydb-extension	ICUVERLT36	Type 1 - $ydb_icu_version/$gtm_icu_version is aaa.bbb. ICU version greater than or equal to 3.6 should be used. Type 2 - libicuio has version aaa.bbb. ICU version greater than or equal to 3.6 should be used.	Run Time Error
false	true	MessageRecovery/errors.rst#IFBADPARM	ydb-extension	IFBADPARM	External Interface Bad Parameter	Run Time Error
false	true	MessageRecovery/errors.rst#IFNOTINIT	ydb-extension	IFNOTINIT	External Interface must first call GTM$INIT or M routine	Run Time Error
false	true	MessageRecovery/errors.rst#IGNBMPMRKFREE	ydb-extension	IGNBMPMRKFREE	Ignoring bitmap free-up operation for region rrrr (dddd) due to concurrent ONLINE ROLLBACK	Information
false	true	MessageRecovery/errors.rst#ILLCHAR	ydb-extension	ILLCHAR	xxxx is not a legal character in this context	Information
false	true	MessageRecovery/errors.rst#ILLEGALUSE	ydb-extension	ILLEGALUSE	"Illegal use of the special character ""?"" in %GSEL"	Error
false	true	MessageRecovery/errors.rst#ILLESOCKBFSIZE	ydb-extension	ILLESOCKBFSIZE	The specified socket buffer size is xxxx, which is either 0 or too big	Run Time Error
false	true	MessageRecovery/errors.rst#INDEXTRACHARS	ydb-extension	INDEXTRACHARS	Indirection string contains extra trailing characters	Compile Time Error
false	true	MessageRecovery/errors.rst#INDRCOMPFAIL	ydb-extension	INDRCOMPFAIL	Compilation of indirection failed	Run Time Error
false	true	MessageRecovery/errors.rst#INDRMAXLEN	ydb-extension	INDRMAXLEN	Maximum length xxxxx of an indirection argument was exceeded	Run Time Error
false	true	MessageRecovery/errors.rst#INITORRESUME	ydb-extension	INITORRESUME	UPDATERESYNC on a Supplementary Instance must additionally specify INITIALIZE or RESUME	Error
false	true	MessageRecovery/errors.rst#INPINTEG	ydb-extension	INPINTEG	Input integrity error -- aborting load	Fatal
false	true	MessageRecovery/errors.rst#INSNOTJOINED	ydb-extension	INSNOTJOINED	Replicating Instance RRRR is not a member of the same Group as Instance IIII	Error
